Type,MainAnswer,Writing_articles_book,Writing_other_academic
POL,Agree,Never,Never
POL,Agree,Sometimes,Sometimes
POL,Agree,Often,Often
POL,Agree,Rarely,Rarely
POL,Agree,Never,Never
POL,Agree,Never,Never
POL,Agree,Never,Never
POL,Agree,Rarely,Rarely
POL,Agree,Never,Never
POL,Agree,Never,Never
POL,Agree,Often,Often
POL,Agree,Never,Never
HIS,Agree,Never,Never
HIS,Agree,Sometimes,Sometimes
HIS,Agree,Never,Never
HIS,Agree,No_response,No_response
HIS,Agree,Never,Never
HIS,Agree,Never,Never
ECON,Agree,Sometimes,Sometimes
ECON,Agree,Never,Rarely
ECON,Agree,Never,Never
ECON,Agree,Never,Rarely
ECON,Agree,Sometimes,Sometimes
POL,Agree,Rarely,Never
POL,Agree,Never,Never
POL,Agree,Never,Never
POL,Agree,Never,Never
POL,Agree,Rarely,Sometimes
POL,Agree,Sometimes,Often
POL,Agree,Never,Never
POL,Agree,Rarely,Rarely
POL,Agree,Sometimes,Rarely
POL,Agree,Never,Never
POL,Agree,Rarely,Never
POL,Agree,Never,Never
POL,Agree,Never,Rarely
HIS,Agree,Never,Never
HIS,Agree,Never,Never
HIS,Agree,Rarely,Rarely
HIS,Agree,No_response,No_response
HIS,Agree,Never,Never
HIS,Agree,Never,Never
HIS,Agree,Never,Never
ECON,Agree,Rarely,Rarely
ECON,Agree,Never,Never
ECON,Agree,Rarely,Rarely
ECON,Agree,Never,Never
ECON,Agree,Never,Rarely
ECON,Agree,Never,Never
ECON,Agree,Rarely,Rarely
ECON,Agree,Never,Never
ECON,Agree,Rarely,Rarely
ECON,Agree,Sometimes,Rarely
ECON,Agree,Rarely,Rarely
ECON,Agree,Never,Rarely
POL,Disagree,No_response,No_response
POL,Disagree,Never,Never
POL,Disagree,Never,Never
POL,Disagree,Never,Sometimes
HIS,Disagree,Never,Never
HIS,Disagree,Never,Never
HIS,Disagree,Never,Never
HIS,Disagree,Never,Never
HIS,Disagree,Never,Never
ECON,Disagree,Never,Never
POL,Disagree,Sometimes,Sometimes
POL,Disagree,Never,Never
POL,Disagree,Rarely,Never
POL,Disagree,No_response,No_response
POL,Disagree,Never,Never
POL,Disagree,Never,Never
HIS,Disagree,Never,Rarely
HIS,Disagree,Sometimes,Sometimes
HIS,Disagree,Never,Never
HIS,Disagree,Never,Never
ECON,Disagree,Never,Never
POL,Neither Agree nor Disagree,Never,Never
POL,Neither Agree nor Disagree,Never,Never
POL,Neither Agree nor Disagree,Rarely,Sometimes
HIS,Neither Agree nor Disagree,Never,Never
HIS,Neither Agree nor Disagree,Never,Never
HIS,Neither Agree nor Disagree,No_response,No_response
HIS,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Never,Rarely
ECON,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Sometimes,Sometimes
ECON,Neither Agree nor Disagree,Never,Never
POL,Neither Agree nor Disagree,Never,Never
POL,Neither Agree nor Disagree,Sometimes,Never
HIS,Neither Agree nor Disagree,Never,Sometimes
HIS,Neither Agree nor Disagree,No_response,No_response
HIS,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Rarely,Rarely
ECON,Neither Agree nor Disagree,Never,Never
ECON,Neither Agree nor Disagree,Never,Rarely
POL,Strongly Agree,Sometimes,Sometimes
HIS,Strongly Agree,Never,Never
ECON,Strongly Agree,Rarely,Rarely
ECON,Strongly Agree,Never,Never
ECON,Strongly Agree,No_response,No_response
ECON,Strongly Agree,Sometimes,Sometimes
ECON,Strongly Agree,Often,Often
ECON,Strongly Agree,Never,Rarely
ECON,Strongly Agree,Sometimes,Often
ECON,Strongly Agree,Never,Never
ECON,Strongly Agree,Rarely,Rarely
POL,Strongly Agree,Never,Never
ECON,Strongly Agree,Rarely,Rarely
ECON,Strongly Agree,Never,Never
ECON,Strongly Agree,Never,Rarely
ECON,Strongly Agree,Sometimes,Sometimes
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Rarely
POL,Strongly Disagree,Never,Rarely
POL,Strongly Disagree,Rarely,Sometimes
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Rarely,Rarely
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,No_response,No_response
POL,Strongly Disagree,Never,Never
POL,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,No_response,No_response
HIS,Strongly Disagree,Never,Never
HIS,Strongly Disagree,Never,Never
